,Title,Authors,Journal,Year,Link Abstract,Link HTML,Link PDF
44,Weak measurement of the composite Goos–Hänchen shift in the critical region,"Santana, Octávio J. S.; Carvalho, Silvânia A.; De Leo, Stefano; de Araujo, Luís E. E.",Optics Letters 41(16) 3884-3887 ,2016,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-41-16-3884&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-41-16-3884&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-41-16-3884&seq=0&origin=search
45,Giant negative Goos-Hänchen shifts for a photonic crystal with a negative effective index,"He, Jinlong; Yi, Jin; He, Sailing",Optics Express 14(7) 3024-3029 ,2006,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-14-7-3024&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-14-7-3024&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-14-7-3024&seq=0&origin=search
46,Plasmonic structure induce giant Goos-Hänchen shifts in a four-level quantum system,"najafi, hooman; ghadiri, yashar","Novel Optical Materials and Applications, Paper# NoM2C.4 ",2016,https://www.osapublishing.org/abstract.cfm?uri=noma-2016-NoM2C.4&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=noma-2016-NoM2C.4&seq=0&origin=search
47,Goos-Hänchen and Imbert-Fedorov shifts for Gaussian beams impinging on graphene-coated surfaces,"Grosche, Simon; Ornigotti, Marco; Szameit, Alexander",Optics Express 23(23) 30195-30203 ,2015,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-23-23-30195&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-23-23-30195&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-23-23-30195&seq=0&origin=search
48,Observation of Goos-Hänchen shifts in metallic reflection,"Merano, M.; Aiello, A.; ’t Hooft, G.W.; van Exter, M. P.; Eliel, E. R.; Woerdman, J. P.",Optics Express 15(24) 15928-15934 ,2007,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-15-24-15928&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-15-24-15928&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-15-24-15928&seq=0&origin=search
49,Goos–Hanchen and Imbert–Fedorov shifts for Hermite–Gauss beams,"Prajapati, Chandra; Ranganathan, D.",Journal of the Optical Society of America A 29(7) 1377-1382 ,2012,https://www.osapublishing.org/josaa/abstract.cfm?uri=josaa-29-7-1377&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-29-7-1377&seq=0&html=true&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-29-7-1377&seq=0&origin=search
50,Simultaneous weak value amplification of angular Goos–Hänchen and Imbert–Fedorov shifts in partial reflection,"Goswami, S.; Pal, M.; Nandi, A.; Panigrahi, P. K.; Ghosh, N.",Optics Letters 39(21) 6229-6232 ,2014,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-39-21-6229&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-39-21-6229&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-39-21-6229&seq=0&origin=search
51,Measurement of the Goos-Hänchen shift at grazing incidence using Lloyd’s mirror,"Rhodes, D. J.; Carniglia, C. K.",Journal of the Optical Society of America 67(5) 679-683 ,1977,https://www.osapublishing.org/josa/abstract.cfm?uri=josa-67-5-679&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-67-5-679&seq=0&html=true&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-67-5-679&seq=0&origin=search
52,Large Enhancement of Nonlinear Goos-Hänchen Shifts and Optical Bistability due to Surface Plasmon Excitations,"Kim, Kihong","Nonlinear Optics: Materials, Fundamentals and Applications, Paper# NW4A.39 ",2015,https://www.osapublishing.org/abstract.cfm?uri=nlo-2015-NW4A.39&origin=search,,https://www.osapublishing.org/viewmedia.cfm?URI=nlo-2015-NW4A.39&seq=0&origin=search
53,Goos–Hänchen and Imbert–Fedorov shifts of an electromagnetic wave packet by a moving object,"Wang, Hailei; Zhang, Xiangdong",Journal of the Optical Society of America B 29(6) 1218-1225 ,2012,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-29-6-1218&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-29-6-1218&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-29-6-1218&seq=0&origin=search
